"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Freestyle","56","1,008","20:16","20:16","2:01","1:16","31","110","126","543","10","169"
"","1.1","Freestyle","1","18","0:23.9","0:23.9","2:13","2:13","34","112","121","10","--","--"
"","1.2","Freestyle","1","18","0:20","0:43.9","1:51","1:51","30","118","123","10","--","--"
"","1.3","Freestyle","1","18","0:20.6","1:04.5","1:54","1:54","31","122","124","10","--","--"
"","1.4","Freestyle","1","18","0:23","1:27.5","2:08","2:08","33","117","119","10","--","--"
"","1.5","Freestyle","1","18","0:22.2","1:49.7","2:03","2:03","32","118","119","10","--","--"
"","1.6","Freestyle","1","18","0:23.8","2:13.5","2:12","2:12","33","115","119","9","--","--"
"","1.7","Freestyle","1","18","0:21.1","2:34.6","1:57","1:57","31","113","115","10","--","--"
"","1.8","Freestyle","1","18","0:22.2","2:56.8","2:03","2:03","32","105","111","10","--","--"
"","1.9","Freestyle","1","18","0:19.6","3:16.4","1:49","1:49","28","104","106","8","--","--"
"","1.10","Freestyle","1","18","0:26.9","3:43.2","2:29","2:29","39","105","107","12","--","--"
"","1.11","Freestyle","1","18","0:19.6","4:02.9","1:49","1:49","29","105","107","9","--","--"
"","1.12","Freestyle","1","18","0:21.2","4:24.1","1:58","1:58","31","107","111","10","--","--"
"","1.13","Freestyle","1","18","0:24.6","4:48.7","2:17","2:17","36","113","114","11","--","--"
"","1.14","Freestyle","1","18","0:23.3","5:11.9","2:09","2:09","32","116","121","9","--","--"
"","1.15","Freestyle","1","18","0:21.8","5:33.7","2:01","2:01","32","121","122","10","--","--"
"","1.16","Freestyle","1","18","0:25.4","5:59.1","2:21","2:21","36","119","122","11","--","--"
"","1.17","Freestyle","1","18","0:21.8","6:20.9","2:01","2:01","31","120","122","9","--","--"
"","1.18","Freestyle","1","18","0:21.3","6:42.2","1:58","1:58","30","119","122","9","--","--"
"","1.19","Freestyle","1","18","0:21.6","7:03.8","2:00","2:00","31","117","118","9","--","--"
"","1.20","Freestyle","1","18","0:23.6","7:27.4","2:11","2:11","33","114","118","9","--","--"
"","1.21","Freestyle","1","18","0:19.1","7:46.5","1:46","1:46","28","108","109","9","--","--"
"","1.22","Freestyle","1","18","0:21.2","8:07.7","1:58","1:58","31","108","109","10","--","--"
"","1.23","Freestyle","1","18","0:23.2","8:30.9","2:09","2:09","33","110","114","10","--","--"
"","1.24","Freestyle","1","18","0:22.9","8:53.7","2:07","2:07","33","118","121","10","--","--"
"","1.25","Freestyle","1","18","0:14.6","9:08.3","1:21","1:21","23","121","125","8","--","--"
"","1.26","Freestyle","1","18","0:28.2","9:36.5","2:36","2:36","39","122","126","11","--","--"
"","1.27","Freestyle","1","18","0:20.4","9:56.9","1:54","1:54","29","115","119","9","--","--"
"","1.28","Freestyle","1","18","0:21","10:18","1:57","1:57","32","107","110","11","--","--"
"","1.29","Freestyle","1","18","0:23.6","10:42","2:11","2:11","33","104","105","9","--","--"
"","1.30","Freestyle","1","18","0:20.9","11:02","1:56","1:56","32","104","106","11","--","--"
"","1.31","Freestyle","1","18","0:20.7","11:23","1:55","1:55","30","106","108","9","--","--"
"","1.32","Freestyle","1","18","0:20.6","11:44","1:54","1:54","30","98","100","9","--","--"
"","1.33","Freestyle","1","18","0:21.8","12:06","2:01","2:01","32","97","98","10","--","--"
"","1.34","Freestyle","1","18","0:24.1","12:30","2:14","2:14","35","97","98","11","--","--"
"","1.35","Freestyle","1","18","0:16.8","12:46","1:33","1:33","26","101","107","9","--","--"
"","1.36","Freestyle","1","18","0:26.5","13:13","2:27","2:27","38","107","109","11","--","--"
"","1.37","Freestyle","1","18","0:21.7","13:35","2:00","2:00","32","104","106","10","--","--"
"","1.38","Freestyle","1","18","0:20.4","13:55","1:54","1:54","29","101","103","9","--","--"
"","1.39","Freestyle","1","18","0:23.6","14:19","2:11","2:11","34","101","102","10","--","--"
"","1.40","Freestyle","1","18","0:18.6","14:37","1:44","1:44","29","107","112","10","--","--"
"","1.41","Freestyle","1","18","0:19.8","14:57","1:50","1:50","30","110","112","10","--","--"
"","1.42","Freestyle","1","18","0:26.3","15:23","2:26","2:26","37","109","112","11","--","--"
"","1.43","Freestyle","1","18","0:18.9","15:42","1:45","1:45","28","111","111","9","--","--"
"","1.44","Freestyle","1","18","0:20.1","16:02","1:51","1:51","29","110","114","9","--","--"
"","1.45","Freestyle","1","18","0:22.9","16:25","2:07","2:07","33","111","112","10","--","--"
"","1.46","Freestyle","1","18","0:22.4","16:48","2:04","2:04","33","111","112","11","--","--"
"","1.47","Freestyle","1","18","0:23.3","17:11","2:10","2:10","33","105","108","10","--","--"
"","1.48","Freestyle","1","18","0:17.8","17:29","1:39","1:39","26","110","113","8","--","--"
"","1.49","Freestyle","1","18","0:19.9","17:49","1:50","1:50","30","110","112","10","--","--"
"","1.50","Freestyle","1","18","0:21.4","18:10","1:59","1:59","30","108","108","9","--","--"
"","1.51","Freestyle","1","18","0:20.7","18:31","1:55","1:55","31","105","107","10","--","--"
"","1.52","Freestyle","1","18","0:21.5","18:52","1:59","1:59","30","106","114","8","--","--"
"","1.53","Freestyle","1","18","0:24","19:16","2:13","2:13","34","113","115","10","--","--"
"","1.54","Freestyle","1","18","0:20.6","19:37","1:55","1:55","30","110","112","9","--","--"
"","1.55","Freestyle","1","18","0:25.2","20:02","2:20","2:20","35","107","111","10","--","--"
"","1.56","Freestyle","1","18","0:13.7","20:16","1:16","1:16","22","109","113","8","--","--"
"","Summary","","56","1,008","20:16","20:16","2:01","1:16","31","110","126","543","10","169"
