"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","1","Freestyle","56","1,008","19:31","19:31","1:56","1:10","30","138","165","534","10","282"
"","1.1","Freestyle","1","18","0:20","0:20","1:51","1:51","29","97","106","9","--","--"
"","1.2","Freestyle","1","18","0:17.1","0:37.1","1:35","1:35","25","113","121","8","--","--"
"","1.3","Freestyle","1","18","0:19.3","0:56.4","1:47","1:47","28","125","127","9","--","--"
"","1.4","Freestyle","1","18","0:22.8","1:19.2","2:07","2:07","34","126","128","11","--","--"
"","1.5","Freestyle","1","18","0:19.8","1:38.9","1:50","1:50","29","128","128","9","--","--"
"","1.6","Freestyle","1","18","0:25.2","2:04.1","2:20","2:20","35","129","130","10","--","--"
"","1.7","Freestyle","1","18","0:20.6","2:24.7","1:54","1:54","30","127","129","9","--","--"
"","1.8","Freestyle","1","18","0:24.8","2:49.4","2:18","2:18","35","127","128","10","--","--"
"","1.9","Freestyle","1","18","0:21.5","3:10.9","1:59","1:59","30","126","127","8","--","--"
"","1.10","Freestyle","1","18","0:21.8","3:32.7","2:01","2:01","31","125","127","9","--","--"
"","1.11","Freestyle","1","18","0:17.3","3:50.0","1:36","1:36","27","123","125","10","--","--"
"","1.12","Freestyle","1","18","0:29.8","4:19.8","2:46","2:46","41","119","123","11","--","--"
"","1.13","Freestyle","1","18","0:24.9","4:44.7","2:18","2:18","35","123","125","10","--","--"
"","1.14","Freestyle","1","18","0:26.5","5:11.2","2:27","2:27","38","125","127","11","--","--"
"","1.15","Freestyle","1","18","0:22.1","5:33.3","2:03","2:03","31","129","130","9","--","--"
"","1.16","Freestyle","1","18","0:24.1","5:57.4","2:14","2:14","34","125","129","10","--","--"
"","1.17","Freestyle","1","18","0:21.8","6:19.1","2:01","2:01","30","123","125","8","--","--"
"","1.18","Freestyle","1","18","0:25.3","6:44.4","2:21","2:21","36","119","123","11","--","--"
"","1.19","Freestyle","1","18","0:22.5","7:06.9","2:05","2:05","31","120","125","8","--","--"
"","1.20","Freestyle","1","18","0:20.9","7:27.8","1:56","1:56","30","125","129","9","--","--"
"","1.21","Freestyle","1","18","0:24.4","7:52.2","2:16","2:16","35","127","135","11","--","--"
"","1.22","Freestyle","1","18","0:22.8","8:15.1","2:07","2:07","33","123","125","10","--","--"
"","1.23","Freestyle","1","18","0:17.4","8:32.5","1:37","1:37","25","126","128","8","--","--"
"","1.24","Freestyle","1","18","0:21.4","8:53.9","1:59","1:59","31","127","128","10","--","--"
"","1.25","Freestyle","1","18","0:14.8","9:08.7","1:22","1:22","22","132","138","7","--","--"
"","1.26","Freestyle","1","18","0:20.2","9:28.9","1:52","1:52","29","136","138","9","--","--"
"","1.27","Freestyle","1","18","0:21.4","9:50.3","1:59","1:59","31","132","135","10","--","--"
"","1.28","Freestyle","1","18","0:20.6","10:11","1:55","1:55","31","142","145","10","--","--"
"","1.29","Freestyle","1","18","0:20.8","10:32","1:55","1:55","32","144","145","11","--","--"
"","1.30","Freestyle","1","18","0:15.3","10:47","1:25","1:25","22","145","149","7","--","--"
"","1.31","Freestyle","1","18","0:21.9","11:09","2:02","2:02","33","144","150","11","--","--"
"","1.32","Freestyle","1","18","0:23.9","11:33","2:13","2:13","34","138","146","10","--","--"
"","1.33","Freestyle","1","18","0:18.1","11:51","1:40","1:40","27","154","155","9","--","--"
"","1.34","Freestyle","1","18","0:19.4","12:10","1:48","1:48","28","152","154","9","--","--"
"","1.35","Freestyle","1","18","0:15.3","12:25","1:25","1:25","24","154","157","9","--","--"
"","1.36","Freestyle","1","18","0:19.7","12:45","1:49","1:49","29","155","157","9","--","--"
"","1.37","Freestyle","1","18","0:20.3","13:05","1:52","1:52","30","149","153","10","--","--"
"","1.38","Freestyle","1","18","0:21.5","13:27","1:59","1:59","32","144","146","10","--","--"
"","1.39","Freestyle","1","18","0:20.6","13:47","1:54","1:54","32","143","144","11","--","--"
"","1.40","Freestyle","1","18","0:14.9","14:02","1:23","1:23","23","144","148","8","--","--"
"","1.41","Freestyle","1","18","0:21.1","14:23","1:57","1:57","31","151","151","10","--","--"
"","1.42","Freestyle","1","18","0:21.8","14:45","2:01","2:01","33","147","150","11","--","--"
"","1.43","Freestyle","1","18","0:19.1","15:04","1:46","1:46","28","141","143","9","--","--"
"","1.44","Freestyle","1","18","0:17.4","15:22","1:37","1:37","27","154","163","10","--","--"
"","1.45","Freestyle","1","18","0:23.5","15:45","2:11","2:11","34","161","164","10","--","--"
"","1.46","Freestyle","1","18","0:21.2","16:06","1:58","1:58","31","160","160","10","--","--"
"","1.47","Freestyle","1","18","0:20.4","16:27","1:53","1:53","30","157","160","10","--","--"
"","1.48","Freestyle","1","18","0:18.9","16:46","1:45","1:45","28","158","161","9","--","--"
"","1.49","Freestyle","1","18","0:23","17:09","2:08","2:08","33","163","164","10","--","--"
"","1.50","Freestyle","1","18","0:21.8","17:30","2:01","2:01","33","159","161","11","--","--"
"","1.51","Freestyle","1","18","0:22.9","17:53","2:07","2:07","33","156","157","10","--","--"
"","1.52","Freestyle","1","18","0:19","18:12","1:46","1:46","28","155","159","9","--","--"
"","1.53","Freestyle","1","18","0:23.8","18:36","2:12","2:12","35","164","165","11","--","--"
"","1.54","Freestyle","1","18","0:23","18:59","2:08","2:08","33","156","160","10","--","--"
"","1.55","Freestyle","1","18","0:19.5","19:19","1:48","1:48","30","149","152","10","--","--"
"","1.56","Freestyle","1","18","0:12.7","19:31","1:10","1:10","19","150","152","6","--","--"
